rosbagTimestamp,controller_name,log,-,name,stamp,secs,nsecs,values
1543504711563086147,'',,"""Drone1_pos""",,1543504711,562857748,"[0.9676244258880615, -0.02614091895520687, 0.03573725372552872]"
1543504711573695956,'',,"""Drone1_pos""",,1543504711,573534992,"[0.9676183462142944, -0.02598048932850361, 0.03569516912102699]"
1543504711583445372,'',,"""Drone1_pos""",,1543504711,583141529,"[0.9675881862640381, -0.025822723284363747, 0.03563395142555237]"
1543504711593714531,'',,"""Drone1_pos""",,1543504711,593507481,"[0.9676101803779602, -0.02608461119234562, 0.03578066825866699]"
1543504711603347084,'',,"""Drone1_pos""",,1543504711,603184852,"[0.9676335453987122, -0.025876572355628014, 0.035502687096595764]"
1543504711613350889,'',,"""Drone1_pos""",,1543504711,612969692,"[0.9675658345222473, -0.025806447491049767, 0.0355788953602314]"
1543504711623273638,'',,"""Drone1_pos""",,1543504711,622895579,"[0.967640221118927, -0.026000777259469032, 0.03562404587864876]"
1543504711633401079,'',,"""Drone1_pos""",,1543504711,632955066,"[0.9676441550254822, -0.025968490168452263, 0.03559848666191101]"
1543504711643213002,'',,"""Drone1_pos""",,1543504711,642968739,"[0.9676278233528137, -0.025955047458410263, 0.035596828907728195]"
1543504711653177221,'',,"""Drone1_pos""",,1543504711,652993908,"[0.9676233530044556, -0.026020579040050507, 0.035633888095617294]"
1543504711663419058,'',,"""Drone1_pos""",,1543504711,663009583,"[0.9676156044006348, -0.02611825428903103, 0.03575802594423294]"
1543504711673338071,'',,"""Drone1_pos""",,1543504711,673106998,"[0.9676291942596436, -0.02614886499941349, 0.0357523038983345]"
1543504711683212990,'',,"""Drone1_pos""",,1543504711,683050444,"[0.9676266312599182, -0.026076944544911385, 0.03574628382921219]"
1543504711693912457,'',,"""Drone1_pos""",,1543504711,693707953,"[0.9676299691200256, -0.026147589087486267, 0.03579101711511612]"
1543504711703213482,'',,"""Drone1_pos""",,1543504711,703030144,"[0.9676369428634644, -0.025913657620549202, 0.03554569557309151]"
