rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,group
1543504686844516061,,267,,1543504686,844269082,"""All""",[Idle],"['NA, NA']"
1543504686944958955,,268,,1543504686,944720895,"""All""",[Idle],"['NA, NA']"
1543504687044430334,,269,,1543504687,44216334,"""All""",[Idle],"['NA, NA']"
1543504687144946291,,270,,1543504687,144712906,"""All""",[Idle],"['NA, NA']"
1543504687244342068,,271,,1543504687,244113522,"""All""",[Idle],"['NA, NA']"
1543504687344807584,,272,,1543504687,344550477,"""All""",[Idle],"['NA, NA']"
1543504687444080793,,273,,1543504687,443857293,"""All""",[Idle],"['NA, NA']"
1543504687544490580,,274,,1543504687,544219172,"""All""",[Idle],"['NA, NA']"
1543504687651409416,,275,,1543504687,649507731,"""All""",[Idle],"['NA, NA']"
1543504687744191011,,276,,1543504687,743834462,"""All""",[Idle],"['NA, NA']"
1543504687839958987,,277,,1543504687,839554825,"""All""",[Idle],"['NA, NA']"
1543504687944237502,,278,,1543504687,943988613,"""All""",[Takeoff],"['NA, NA']"
1543504688044769998,,279,,1543504688,44519943,"""All""",[Takeoff],"['NA, NA']"
1543504688144261226,,280,,1543504688,143948250,"""All""",[Takeoff],"['NA, NA']"
1543504688244725322,,281,,1543504688,244422399,"""All""",[Takeoff],"['NA, NA']"
1543504688344923723,,282,,1543504688,344765617,"""All""",[Takeoff],"['NA, NA']"
1543504688444348832,,283,,1543504688,444130838,"""All""",[Takeoff],"['NA, NA']"
1543504688544879329,,284,,1543504688,544602543,"""All""",[Takeoff],"['NA, NA']"
1543504688644185330,,285,,1543504688,643979170,"""All""",[Takeoff],"['NA, NA']"
1543504688744697468,,286,,1543504688,744448631,"""All""",[Takeoff],"['NA, NA']"
1543504688844085553,,287,,1543504688,843792644,"""All""",[Takeoff],"['NA, NA']"
1543504688944488072,,288,,1543504688,944262770,"""All""",[Takeoff],"['NA, NA']"
1543504689045007871,,289,,1543504689,44776411,"""All""",[Takeoff],"['NA, NA']"
1543504689144473656,,290,,1543504689,144240172,"""All""",[Takeoff],"['NA, NA']"
1543504689244957017,,291,,1543504689,244738802,"""All""",[Takeoff],"['NA, NA']"
1543504689344497267,,292,,1543504689,344229698,"""All""",[Takeoff],"['NA, NA']"
1543504689444935513,,293,,1543504689,444659590,"""All""",[Takeoff],"['NA, NA']"
1543504689544383024,,294,,1543504689,544103203,"""All""",[Takeoff],"['NA, NA']"
1543504689644782610,,295,,1543504689,644525912,"""All""",[Takeoff],"['NA, NA']"
1543504689744119661,,296,,1543504689,743856155,"""All""",[Takeoff],"['NA, NA']"
1543504689844445864,,297,,1543504689,844248931,"""All""",[Takeoff],"['NA, NA']"
1543504689944971964,,298,,1543504689,944704834,"""All""",[Takeoff],"['NA, NA']"
1543504690044325165,,299,,1543504690,44074003,"""All""",[Takeoff],"['NA, NA']"
1543504690144681559,,300,,1543504690,144466855,"""All""",[Takeoff],"['NA, NA']"
1543504690244058696,,301,,1543504690,243831165,"""All""",[Takeoff],"['NA, NA']"
1543504690344433206,,302,,1543504690,344199745,"""All""",[Takeoff],"['NA, NA']"
